gene,stage,annotation
CG3075,1,"('maternal', 'ubiquitous')"
CG3075,2,"('ubiquitous',)"
CG3078,5,"('ventral nerve cord primordium',)"
CG3078,6,"('embryonic brain', 'ventral nerve cord')"
CG3082,1,"('maternal',)"
CG3082,2,"('cellular blastoderm', 'ubiquitous')"
CG3082,3,"('trunk mesoderm primordium P2', 'procephalic ectoderm anlage', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'head mesoderm primordium P4', 'ventral nerve cord anlage', 'ubiquitous', 'ventral ectoderm primordium P2')"
CG3082,4,"('procephalic ectoderm primordium', 'ventral nerve cord primordium P3', 'anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2', 'trunk mesoderm primordium', 'ubiquitous', 'ventral ectoderm primordium')"
CG3082,5,"('garland cell primordium', 'anterior midgut primordium', 'posterior midgut primordium', 'brain primordium', 'ventral nerve cord primordium', 'ubiquitous', 'yolk nuclei')"
CG3082,6,"('embryonic/larval garland cell', 'ubiquitous', 'faint ubiquitous')"
CG3085,1,"('maternal',)"
CG3085,6,"('sensory system head', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium')"
CG3090,3,"('posterior endoderm primordium P2',)"
CG3090,4,"('anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2')"
CG3090,5,"('anterior midgut primordium', 'posterior midgut primordium', 'longitudinal visceral mesoderm primordium', 'trunk mesoderm primordium', 'head mesoderm primordium')"
CG3090,6,"('embryonic midgut',)"
CG3093,1,"('ubiquitous', 'maternal')"
CG3093,2,"('ubiquitous',)"
CG3093,3,"('faint ubiquitous',)"
CG3093,4,"('ventral nerve cord primordium P3', 'central brain primordium P3', 'faint ubiquitous')"
CG3093,5,"('brain primordium', 'ventral nerve cord primordium', 'faint ubiquitous')"
CG3093,6,"('embryonic brain', 'ventral nerve cord', 'crystal cell', 'faint ubiquitous')"
CG3095,1,"('maternal', 'ubiquitous')"
CG3095,2,"('cellular blastoderm', 'ubiquitous')"
CG3095,4,"('ubiquitous', 'faint ubiquitous')"
CG3095,5,"('somatic muscle primordium', 'longitudinal visceral mesoderm primordium', 'faint ubiquitous', 'trunk mesoderm primordium', 'visceral muscle primordium', 'head mesoderm primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG3095,6,"('embryonic midgut', 'embryonic/larval muscle system', 'faint ubiquitous', 'embryonic proventriculus', 'embryonic/larval visceral muscle')"
CG3097,2,"('subset', 'procephalic ectoderm anlage in statu nascendi', 'visual anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi')"
CG3097,3,"('procephalic ectoderm anlage', 'ventral ectoderm primordium P2')"
CG3097,4,"('amnioserosa', 'visual primordium', 'mesectoderm primordium', 'procephalic ectoderm primordium', 'ventral ectoderm primordium', 'ventral nerve cord primordium P3', 'ventral epidermis primordium P2')"
CG3097,5,"('anal pad specific anlage', 'midline primordium', 'amnioserosa', 'ventral epidermis primordium', 'hindgut proper primordium', 'ventral nerve cord primordium', 'procephalon primordium', 'yolk nuclei')"
CG3097,6,"('embryonic ventral epidermis', 'embryonic anal pad', 'embryonic dorsal epidermis', 'embryonic hindgut', 'embryonic esophagus', 'embryonic head epidermis')"
CG31000,1,"('maternal',)"
CG31000,2,"('ubiquitous',)"
CG31000,3,"('faint ubiquitous',)"
CG31000,4,"('foregut primordium', 'faint ubiquitous')"
CG31000,5,"('foregut primordium', 'tracheal primordium', 'hindgut proper primordium', 'faint ubiquitous')"
CG31000,6,"('embryonic central brain glia', 'lateral cord glia', 'ventral nerve cord', 'embryonic brain', 'faint ubiquitous')"
CG31002,4,"('amnioserosa', 'yolk nuclei')"
CG31002,5,"('yolk nuclei',)"
CG31002,6,"('yolk nuclei',)"
CG31004,6,"('embryonic proventriculus', 'embryonic midgut', 'embryonic hindgut', 'embryonic Malpighian tubule')"
CG31005,1,"('maternal',)"
CG31005,2,"('faint ubiquitous',)"
CG31005,6,"('embryonic head epidermis', 'embryonic esophagus', 'embryonic hypopharynx', 'embryonic dorsal epidermis', 'embryonic ventral epidermis')"
CG31014,5,"('circular visceral mesoderm primordium', 'salivary gland primordium')"
CG31014,6,"('embryonic salivary gland', 'circular visceral muscle fibers')"
CG31015,5,"('proventriculus primordium',)"
CG31015,6,"('embryonic proventriculus',)"
CG31022,3,"('faint ubiquitous',)"
CG31022,4,"('head mesoderm primordium P2', 'faint ubiquitous')"
CG31022,5,"('ventral epidermis primordium', 'plasmatocytes anlage', 'dorsal epidermis primordium', 'ventral nerve cord primordium')"
CG31022,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'plasmatocytes', 'embryonic/larval fat body', 'embryonic/larval muscle system', 'embryonic/larval somatic muscle')"
CG31028,5,"('foregut primordium', 'dorsal epidermis primordium', 'salivary gland primordium', 'hindgut proper primordium')"
CG31028,6,"('embryonic foregut', 'embryonic salivary gland', 'embryonic dorsal epidermis', 'embryonic/larval tracheal system', 'embryonic head epidermis', 'embryonic ventral epidermis', 'embryonic epipharynx', 'embryonic hypopharynx', 'atrium', 'embryonic hindgut')"
CG31030,5,"('brain primordium', 'ventral nerve cord primordium')"
CG31030,6,"('embryonic brain', 'embryonic antennal sense organ', 'ventral nerve cord')"
CG31033,1,"('maternal',)"
CG31036,6,"('embryonic optic lobe', 'sensory system head', 'embryonic esophagus', 'embryonic proventriculus', 'embryonic proventriculus inner layer', 'embryonic foregut sensory structure', 'embryonic maxillary sensory complex', 'embryonic labial sensory complex', 'ventral sensory complex primordium', 'sensory nervous system primordium', 'adult hindgut precursor', 'embryonic/larval posterior spiracle', 'embryonic hypopharynx', 'labral sensory complex', 'embryonic epipharynx', 'embryonic antennal sense organ', 'embryonic small intestine')"
CG31038,2,"('posterior endoderm anlage in statu nascendi', 'subset', 'anlage in statu nascendi')"
CG31038,3,"('anterior endoderm anlage', 'posterior endoderm primordium P2')"
CG31038,5,"('somatic muscle primordium', 'longitudinal visceral mesoderm primordium', 'visceral muscle primordium', 'muscle system primordium', 'dorsal pharyngeal muscle primordium')"
CG31038,6,"('embryonic/larval muscle system', 'embryonic foregut', 'embryonic epipharynx', 'atrium', 'embryonic dorsal epidermis', 'embryonic ventral epidermis', 'embryonic anal pad', 'embryonic hindgut', 'embryonic/larval visceral muscle')"
CG31043,1,"('maternal', 'flag_for_volker')"
CG31043,2,"('cellular blastoderm', 'subset', 'ubiquitous', 'procephalic ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'trunk mesoderm anlage', 'head mesoderm anlage', 'anlage in statu nascendi')"
CG31043,3,"('trunk mesoderm primordium P2', 'ubiquitous', 'procephalic ectoderm anlage', 'dorsal ectoderm primordium', 'ventral ectoderm primordium P2', 'head mesoderm primordium P4')"
CG31043,4,"('ventral nerve cord primordium P3', 'trunk mesoderm primordium', 'ventral ectoderm primordium', 'ubiquitous', 'procephalic ectoderm primordium')"
CG31043,5,"('visceral muscle primordium', 'foregut primordium', 'ventral epidermis primordium', 'brain primordium', 'ubiquitous', 'ventral nerve cord primordium', 'hindgut proper primordium', 'trunk mesoderm primordium')"
CG31043,6,"('ventral midline', 'embryonic/larval muscle system', 'embryonic central nervous system', 'embryonic brain', 'embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx', 'embryonic esophagus', 'embryonic proventriculus', 'embryonic ventral epidermis', 'ventral nerve cord', 'embryonic hindgut', 'embryonic/larval visceral muscle', 'ubiquitous', 'embryonic/larval dorsal vessel', 'embryonic midgut', 'sensory nervous system primordium')"
CG31044,1,"('maternal',)"
CG31044,6,"('embryonic salivary gland', 'embryonic salivary gland body')"
CG31045,1,"('maternal',)"
CG31045,2,"('anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'cellular blastoderm', 'subset', 'amnioserosa anlage in statu nascendi')"
CG31045,3,"('dorsal ectoderm primordium', 'trunk mesoderm primordium P2', 'amnioserosa anlage')"
CG31045,5,"('dorsal epidermis primordium', 'hindgut proper primordium', 'trunk mesoderm primordium', 'head mesoderm primordium')"
CG31045,6,"('embryonic dorsal epidermis', 'embryonic foregut', 'embryonic hindgut', 'embryonic Malpighian tubule', 'dorsal prothoracic pharyngeal muscle', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle')"
CG31052,6,"('embryonic hindgut', 'embryonic Malpighian tubule', 'embryonic large intestine')"
CG3106,6,"('embryonic midgut', 'embryonic gastric caecum')"
CG31064,1,"('maternal',)"
CG31064,2,"('maternal', 'ubiquitous')"
CG31064,3,"('ubiquitous',)"
CG31064,4,"('ubiquitous',)"
CG31064,5,"('ubiquitous',)"
CG31064,6,"('ventral nerve cord', 'ubiquitous')"
CG3108,6,"('embryonic head epidermis', 'embryonic ventral epidermis', 'embryonic dorsal epidermis')"
CG31085,6,"('embryonic head epidermis', 'embryonic ventral epidermis', 'embryonic dorsal epidermis')"
CG31088,1,"('maternal',)"
CG31088,2,"('cellular blastoderm', 'ubiquitous')"
CG31088,3,"('ubiquitous',)"
CG31088,4,"('ubiquitous',)"
CG31088,5,"('brain primordium', 'ventral nerve cord primordium', 'anterior midgut primordium', 'posterior midgut primordium', 'ubiquitous')"
CG31088,6,"('embryonic central nervous system', 'embryonic central brain neuron', 'embryonic central brain glia', 'embryonic head epidermis', 'sensory system head', 'embryonic ventral epidermis', 'ventral nerve cord', 'ventral midline', 'embryonic dorsal epidermis', 'sensory nervous system primordium', 'embryonic brain', 'embryonic midgut')"
CG3109,1,"('maternal',)"
CG3109,2,"('cellular blastoderm', 'faint ubiquitous')"
CG3109,3,"('ubiquitous', 'faint ubiquitous')"
CG3109,5,"('faint ubiquitous',)"
CG3109,6,"('embryonic/larval muscle system', 'embryonic/larval visceral muscle', 'embryonic midgut')"
CG31091,1,"('maternal',)"
CG31091,2,"('maternal', 'rapidly degraded')"
CG31092,1,"('maternal',)"
CG31092,2,"('cellular blastoderm', 'ubiquitous', 'rapidly degraded')"
CG31092,6,"('embryonic central nervous system', 'embryonic central brain neuron', 'ventral nerve cord', 'embryonic/larval oenocyte', 'embryonic brain')"
CG31094,1,"('maternal',)"
CG31094,2,"('maternal',)"
CG31094,6,"('embryonic central nervous system', 'ventral nerve cord', 'embryonic/larval oenocyte', 'embryonic brain')"
CG31098,1,"('maternal',)"
CG31098,6,"('embryonic midgut', 'embryonic midgut chamber', 'embryonic midgut interstitial cell', 'embryonic hindgut', 'embryonic Malpighian tubule')"
CG31100,1,"('maternal',)"
CG31100,2,"('cellular blastoderm', 'maternal')"
CG31100,5,"('Malpighian tubule main body primordium', 'hindgut proper primordium')"
CG31100,6,"('embryonic hindgut', 'embryonic/larval muscle system', 'faint ubiquitous', 'dorsal prothoracic pharyngeal muscle', 'embryonic midgut')"
CG31108,1,"('maternal',)"
CG31108,2,"('maternal', 'cellular blastoderm')"
CG31108,6,"('embryonic central nervous system', 'embryonic central brain neuron', 'embryonic central brain glia', 'sensory system head', 'lateral cord neuron', 'lateral cord glia', 'sensory nervous system primordium', 'embryonic midgut', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium', 'embryonic brain', 'ventral nerve cord')"
CG31116,6,"('ventral nerve cord', 'lateral cord glia', 'ventral midline', 'embryonic brain', 'embryonic central brain glia', 'embryonic Malpighian tubule', 'embryonic midgut', 'embryonic midgut', 'embryonic brain', 'embryonic Malpighian tubule', 'lateral cord glia', 'ventral nerve cord', 'embryonic central brain glia')"
CG31121,4,"('foregut primordium', 'inclusive hindgut primordium', 'dorsal ectoderm primordium')"
CG31121,5,"('foregut primordium', 'ventral epidermis primordium', 'dorsal epidermis primordium', 'tracheal primordium', 'Malpighian tubule main body primordium', 'clypeo-labral primordium', 'hindgut proper primordium')"
CG31121,6,"('embryonic foregut', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'sensory nervous system primordium', 'embryonic hindgut', 'embryonic hypopharynx', 'embryonic epipharynx', 'embryonic/larval tracheal system')"
CG31122,1,"('maternal',)"
CG31122,2,"('ubiquitous',)"
CG31122,3,"('faint ubiquitous',)"
CG31122,4,"('faint ubiquitous',)"
CG31122,5,"('embryonic central brain glia', 'procephalic neuroblasts', 'lateral cord glia', 'lateral cord neuron', 'faint ubiquitous', 'brain primordium', 'ventral nerve cord primordium')"
CG31122,6,"('embryonic central nervous system', 'ventral nerve cord', 'embryonic brain')"
CG31133,1,"('maternal',)"
CG31133,2,"('subset', 'procephalic ectoderm anlage in statu nascendi', 'foregut anlage in statu nascendi', 'anlage in statu nascendi', 'visual anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi')"
CG31133,6,"('dorsal prothoracic pharyngeal muscle', 'embryonic midgut')"
CG31137,1,"('maternal',)"
CG31137,2,"('cellular blastoderm', 'anlage in statu nascendi', 'maternal', 'ubiquitous', 'pole cell')"
CG31137,3,"('pole cell', 'ubiquitous')"
CG31137,4,"('ubiquitous',)"
CG31137,5,"('ubiquitous',)"
CG31137,6,"('ubiquitous', 'faint ubiquitous')"
CG3114,1,"('maternal',)"
CG3114,2,"('ubiquitous',)"
CG3114,5,"('dorsal pharyngeal muscle primordium', 'somatic muscle primordium', 'visceral muscle primordium', 'head mesoderm primordium')"
CG3114,6,"('embryonic brain', 'ventral nerve cord', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle')"
CG31140,1,"('maternal', 'flag_for_volker', 'faint ubiquitous')"
CG31140,6,"('ventral nerve cord', 'embryonic brain', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle')"
CG31145,1,"('maternal',)"
CG31145,5,"('anterior midgut primordium', 'posterior midgut primordium', 'midline primordium')"
CG31145,6,"('embryonic hypopharynx', 'embryonic salivary gland', 'embryonic salivary gland duct', 'ventral midline', 'ventral midline glia', 'embryonic dorsal epidermis', 'embryonic/larval posterior spiracle', 'embryonic/larval visceral branch', 'embryonic midgut', 'embryonic/larval dorsal vessel', 'germ cell', 'atrium', 'embryonic hindgut', 'apoptotic amnioserosa', 'embryonic/larval tracheal system')"
CG31150,3,"('head mesoderm primordium P4',)"
CG31150,4,"('head mesoderm primordium P2', 'crystal cell specific anlage')"
CG31150,5,"('plasmatocytes anlage', 'procrystal cell')"
CG31150,6,"('amnioserosa', 'plasmatocytes', 'crystal cell', 'embryonic/larval fat body')"
CG31151,1,"('maternal', 'maternal')"
CG31155,1,"('maternal',)"
CG31155,2,"('maternal',)"
CG31155,3,"('ubiquitous',)"
CG31155,4,"('ubiquitous',)"
CG31155,5,"('ubiquitous',)"
CG31155,6,"('embryonic brain', 'ventral nerve cord', 'embryonic midgut', 'faint ubiquitous')"
CG31160,5,"('fat body/gonad primordium', 'yolk nuclei')"
CG31160,6,"('amnioserosa', 'embryonic midgut', 'embryonic/larval fat body', 'embryonic midgut chamber', 'yolk nuclei')"
CG31163,4,"('inclusive hindgut primordium',)"
CG31163,5,"('embryonic central brain neuron', 'anterior midgut primordium', 'posterior midgut primordium', 'hindgut proper primordium', 'brain primordium', 'dorsal epidermis primordium', 'ventral nerve cord primordium')"
CG31163,6,"('embryonic central nervous system', 'embryonic dorsal epidermis', 'embryonic hindgut', 'embryonic brain', 'ventral nerve cord', 'embryonic midgut')"
CG31170,1,"('maternal',)"
CG31170,2,"('faint ubiquitous',)"
CG31170,5,"('anterior midgut primordium', 'posterior midgut primordium')"
CG31170,6,"('embryonic foregut', 'embryonic proventriculus', 'embryonic salivary gland', 'embryonic salivary gland body', 'embryonic hindgut', 'embryonic Malpighian tubule tip cell', 'embryonic/larval muscle system', 'embryonic midgut', 'embryonic epipharynx', 'embryonic hypopharynx')"
CG31175,1,"('maternal',)"
CG31175,2,"('cellular blastoderm', 'subset', 'ubiquitous')"
CG31175,5,"('hindgut proper primordium', 'rectum specific anlage')"
CG31175,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic small intestine', 'embryonic/larval dorsal vessel', 'embryonic midgut', 'embryonic large intestine', 'embryonic rectum', 'embryonic/larval visceral muscle', 'circular visceral muscle fibers')"
CG31181,5,"('anterior midgut primordium', 'posterior spiracle specific anlage', 'posterior midgut primordium', 'hindgut proper primordium', 'brain primordium', 'ventral nerve cord primordium')"
CG31181,6,"('embryonic central nervous system', 'embryonic proventriculus', 'ventral nerve cord', 'embryonic/larval posterior spiracle', 'embryonic midgut', 'embryonic brain', 'embryonic hindgut')"
CG31182,1,"('maternal',)"
CG31182,5,"('anterior midgut primordium', 'anal pad specific anlage', 'posterior midgut primordium', 'brain primordium', 'ventral nerve cord primordium', 'hindgut proper primordium')"
CG31182,6,"('embryonic central nervous system', 'ventral nerve cord', 'embryonic brain', 'embryonic midgut', 'embryonic anal pad')"
CG31184,1,"('maternal',)"
CG31184,2,"('ubiquitous',)"
CG31184,3,"('trunk mesoderm primordium P2', 'head mesoderm primordium P4', 'ubiquitous')"
CG31184,4,"('head mesoderm primordium P2', 'trunk mesoderm primordium', 'ubiquitous')"
CG31184,5,"('trunk mesoderm primordium', 'head mesoderm primordium', 'faint ubiquitous')"
CG31196,1,"('maternal', 'flag_for_volker')"
CG31196,2,"('ubiquitous',)"
CG31196,3,"('ubiquitous',)"
CG31196,4,"('ventral nerve cord primordium P3', 'central brain primordium P3', 'ubiquitous')"
CG31196,5,"('brain primordium', 'ventral nerve cord primordium', 'ubiquitous')"
CG31196,6,"('embryonic brain', 'sensory system head', 'ventral nerve cord', 'gonad', 'dorsal/lateral sensory complexes', 'ubiquitous')"
CG31198,6,"('embryonic hindgut',)"
CG31216,1,"('maternal',)"
CG31216,6,"('sensory nervous system primordium', 'sensory system head', 'ventral sensory complex primordium', 'dorsal/lateral sensory complexes')"
CG31221,5,"('anterior midgut primordium', 'posterior midgut primordium', 'trunk mesoderm primordium')"
CG31221,6,"('ventral nerve cord', 'lateral cord neuron', 'lateral cord surface glia', 'embryonic/larval fat body')"
CG31224,1,"('maternal',)"
CG31224,2,"('ubiquitous',)"
CG31224,3,"('ubiquitous',)"
CG31224,4,"('ubiquitous',)"
CG31224,5,"('ubiquitous',)"
CG31224,6,"('ubiquitous',)"
CG31232,1,"('maternal',)"
CG31232,2,"('apically cleared', 'ubiquitous', 'cellular blastoderm')"
CG31232,3,"('ubiquitous',)"
CG31232,4,"('faint ubiquitous',)"
CG31232,5,"('salivary gland primordium', 'hindgut proper primordium', 'posterior midgut primordium', 'foregut primordium')"
CG31232,6,"('embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx', 'atrium', 'embryonic dorsal epidermis', 'embryonic ventral epidermis', 'embryonic hindgut')"
CG31233,6,"('embryonic midgut', 'embryonic midgut chamber')"
CG31235,5,"('brain primordium', 'ventral nerve cord primordium')"
CG31235,6,"('embryonic central nervous system', 'embryonic central brain glia', 'embryonic central brain neuron', 'embryonic central brain', 'ventral nerve cord', 'lateral cord glia', 'lateral cord', 'ventral midline', 'embryonic brain')"
CG31237,1,"('maternal',)"
CG31237,2,"('ubiquitous',)"
CG31237,3,"('faint ubiquitous',)"
CG31237,4,"('faint ubiquitous',)"
CG31237,5,"('faint ubiquitous',)"
CG31237,6,"('embryonic brain', 'ventral nerve cord', 'embryonic midgut')"
CG31240,5,"('embryonic central brain glia', 'ventral sensory complex specific anlage', 'lateral cord neuron', 'lateral cord glia', 'ventral nerve cord primordium', 'glioblasts of ventral nervous system', 'procephalic glioblasts', 'dorsal/lateral sensory complexes primordium')"
CG31240,6,"('embryonic central nervous system', 'embryonic brain', 'embryonic central brain glia', 'embryonic central brain surface glia', 'embryonic central brain', 'sensory system head', 'ventral sensory complex primordium', 'lateral cord neuron', 'lateral cord glia', 'dorsal/lateral sensory complexes', 'ventral nerve cord', 'sensory nervous system primordium')"
CG31241,1,"('maternal',)"
CG31241,2,"('ubiquitous',)"
CG31241,3,"('ubiquitous',)"
CG31241,4,"('ubiquitous',)"
CG31241,5,"('ubiquitous',)"
CG31241,6,"('embryonic brain', 'embryonic central brain mushroom body', 'embryonic midgut', 'gonad', 'faint ubiquitous')"
CG31243,5,"('maxillary sensory complex primordium', 'labial sensory complex primordium', 'dorsal/lateral sensory complexes primordium', 'ventral sensory complex specific anlage')"
CG31243,6,"('embryonic head epidermis', 'sensory system head', 'embryonic antennal sense organ', 'embryonic foregut sensory structure', 'embryonic maxillary sensory complex', 'embryonic labial sensory complex', 'sensory nervous system primordium', 'ring gland', 'dorsal/lateral sensory complexes')"
CG31246,2,"('subset', 'anlage in statu nascendi', 'yolk nuclei', 'faint ubiquitous', 'gap')"
CG31256,1,"('maternal',)"
CG31256,2,"('cellular blastoderm', 'maternal', 'faint ubiquitous')"
CG31256,3,"('ubiquitous', 'faint ubiquitous')"
CG31256,4,"('ubiquitous', 'faint ubiquitous')"
CG31256,5,"('ubiquitous', 'brain primordium', 'ventral nerve cord primordium', 'anterior midgut primordium', 'posterior midgut primordium', 'faint ubiquitous')"
CG31256,6,"('embryonic central nervous system', 'ventral nerve cord', 'gonad', 'embryonic brain', 'embryonic midgut')"
CG31258,1,"('maternal',)"
CG31258,2,"('strong ubiquitous',)"
CG31258,3,"('ubiquitous',)"
CG31258,4,"('ubiquitous',)"
CG31258,5,"('ubiquitous',)"
CG31258,6,"('embryonic brain', 'ventral nerve cord', 'gonad', 'faint ubiquitous')"
CG31259,6,"('embryonic midgut', 'embryonic gastric caecum')"
CG31262,1,"('maternal', 'flag_for_volker')"
CG31262,6,"('crystal cell',)"
CG31264,3,"('dorsal ectoderm primordium', 'amnioserosa anlage')"
CG31264,4,"('dorsal ectoderm primordium', 'amnioserosa primordium')"
CG31264,5,"('amnioserosa',)"
CG31264,6,"('sensory system head', 'embryonic antennal sense organ', 'ventral midline', 'sensory nervous system primordium', 'embryonic/larval dorsal vessel', 'embryonic dorsal epidermis', 'amnioserosa', 'dorsal/lateral sensory complexes')"
CG3127,1,"('maternal',)"
CG3127,6,"('embryonic/larval somatic muscle', 'embryonic/larval muscle system')"
CG31272,5,"('Malpighian tubule primordium',)"
CG31272,6,"('embryonic Malpighian tubule',)"
CG31284,5,"('yolk nuclei',)"
CG31284,6,"('embryonic foregut', 'embryonic epipharynx')"
CG31288,1,"('maternal',)"
CG31289,1,"('maternal',)"
CG31289,2,"('cellular blastoderm', 'maternal')"
CG31289,3,"('pole cell',)"
CG31289,5,"('anterior midgut primordium', 'posterior midgut primordium', 'Malpighian tubule primordium', 'hindgut proper primordium', 'germ cell')"
CG31289,6,"('embryonic midgut', 'embryonic gastric caecum', 'embryonic midgut chamber', 'embryonic/larval muscle system', 'embryonic/larval visceral muscle', 'gonad', 'embryonic anal pad', 'embryonic Malpighian tubule', 'embryonic/larval fat body')"
CG31291,1,"('maternal',)"
CG31291,2,"('faint ubiquitous',)"
CG31291,3,"('faint ubiquitous',)"
CG31291,4,"('faint ubiquitous',)"
CG31291,5,"('antennal primordium1', 'ventral sensory complex specific anlage', 'dorsal/lateral sensory complexes primordium')"
CG31291,6,"('sensory system head', 'ventral sensory complex primordium', 'sensory nervous system primordium', 'dorsal/lateral sensory complexes')"
CG31300,6,"('embryonic midgut chamber', 'embryonic midgut')"
CG31306,1,"('maternal',)"
CG31306,2,"('dorsal ectoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'mesoderm anlage in statu nascendi', 'ubiquitous')"
CG31306,3,"('dorsal ectoderm primordium', 'posterior endoderm primordium P2', 'faint ubiquitous')"
CG31306,4,"('dorsal ectoderm primordium', 'faint ubiquitous', 'inclusive hindgut primordium', 'posterior endoderm primordium')"
CG31306,5,"('stomatogastric nervous system primordium', 'foregut primordium', 'dorsal epidermis primordium', 'faint ubiquitous', 'salivary gland primordium', 'hindgut proper primordium')"
CG31306,6,"('embryonic stomatogastric nervous system', 'embryonic foregut', 'embryonic epipharynx', 'embryonic hypopharynx', 'embryonic dorsal epidermis', 'embryonic main segment of Malpighian tubule', 'embryonic head epidermis', 'embryonic ventral epidermis', 'atrium', 'embryonic salivary gland', 'embryonic Malpighian tubule', 'embryonic hindgut')"
CG31313,5,"('amnioserosa', 'yolk nuclei')"
CG31313,6,"('embryonic ventral epidermis', 'embryonic dorsal epidermis', 'yolk nuclei')"
CG31317,2,"('cellular blastoderm', 'mesoderm anlage in statu nascendi', 'trunk mesoderm anlage in statu nascendi')"
CG31317,3,"('trunk mesoderm primordium P2', 'head mesoderm primordium P4', 'yolk nuclei', 'anterior endoderm anlage')"
CG31317,4,"('head mesoderm primordium P2', 'trunk mesoderm primordium', 'anterior endoderm primordium')"
CG31317,5,"('tracheal primordium', 'visceral muscle primordium', 'circular visceral mesoderm primordium', 'head mesoderm primordium')"
CG31317,6,"('embryonic/larval tracheal system', 'embryonic/larval visceral muscle', 'dorsal prothoracic pharyngeal muscle', 'visceral muscle of esophagus')"
CG31318,1,"('maternal',)"
CG31318,2,"('ubiquitous',)"
CG31318,3,"('ubiquitous',)"
CG31318,4,"('ubiquitous',)"
CG31318,5,"('ubiquitous',)"
CG31318,6,"('embryonic brain', 'ventral nerve cord', 'embryonic midgut', 'embryonic hindgut', 'faint ubiquitous')"
CG3132,1,"('flag_for_volker',)"
CG3132,2,"('procephalic ectoderm anlage in statu nascendi', 'visual anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'mesectoderm anlage in statu nascendi', 'subset', 'anlage in statu nascendi')"
CG3132,3,"('procephalic ectoderm anlage', 'mesectoderm primordium', 'visual anlage', 'dorsal ectoderm primordium', 'ventral ectoderm primordium P2')"
CG3132,4,"('procephalic ectoderm primordium', 'visual primordium', 'mesectoderm primordium')"
CG3132,5,"('embryonic optic lobe primordium', 'ventral midline glia', 'midline primordium', 'brain primordium')"
CG3132,6,"('embryonic optic lobe', 'embryonic head epidermis', 'ventral midline', 'embryonic/larval oenocyte', 'embryonic/larval circulatory system', 'embryonic/larval dorsal vessel', 'yolk nuclei', 'ring gland', 'gonad', 'embryonic/larval tracheal system', 'embryonic/larval posterior spiracle', 'adult hindgut precursor')"
CG31320,1,"('maternal',)"
CG31320,2,"('cellular blastoderm', 'subset', 'maternal')"
CG31320,6,"('sensory nervous system primordium', 'sensory system head', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium')"
CG31321,6,"('embryonic proventriculus inner layer', 'embryonic proventriculus', 'atrium', 'embryonic/larval posterior spiracle', 'embryonic hindgut')"
CG31323,6,"('embryonic midgut', 'embryonic midgut chamber')"
CG31324,6,"('embryonic midgut', 'crystal cell', 'embryonic brain', 'ventral nerve cord', 'embryonic/larval tracheal system')"
CG31332,1,"('maternal', 'maternal')"
CG31332,3,"('ubiquitous', 'ubiquitous')"
CG31332,4,"('ubiquitous', 'amnioserosa', 'foregut primordium', 'ubiquitous')"
CG31332,5,"('embryonic leading edge cell specific anlage', 'amnioserosa', 'muscle system primordium', 'ubiquitous', 'trunk mesoderm primordium', 'trunk mesoderm primordium', 'ubiquitous', 'amnioserosa')"
CG31332,6,"('embryonic/larval muscle system', 'embryonic hindgut', 'embryonic brain', 'embryonic ventral epidermis', 'embryonic Malpighian tubule', 'embryonic dorsal epidermis', 'embryonic/larval dorsal vessel', 'ubiquitous', 'embryonic leading edge cell', 'embryonic brain', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic hindgut', 'embryonic Malpighian tubule', 'embryonic/larval dorsal vessel', 'embryonic/larval muscle system', 'ubiquitous')"
CG31337,6,"('plasmatocytes', 'ring gland')"
CG31343,6,"('embryonic small intestine', 'embryonic midgut')"
CG31344,1,"('maternal',)"
CG31344,6,"('embryonic esophagus', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic/larval tracheal system', 'embryonic/larval posterior spiracle', 'embryonic/larval dorsal trunk', 'embryonic hindgut', 'embryonic large intestine', 'embryonic epipharynx', 'embryonic hypopharynx')"
CG31349,1,"('maternal',)"
CG31349,2,"('ubiquitous',)"
